15
1 2 79
1 3 94
1 4 87
1 5 68
1 6 75
1 7 62
1 8 89
1 9 96
1 10 73
1 11 69
1 12 64
1 13 59
1 14 84
1 15 54
2 3 75
2 4 98
2 5 57
2 6 57
2 7 74
2 8 86
2 9 71
2 10 76
2 11 52
2 12 52
2 13 55
2 14 56
2 15 78
3 4 72
3 5 81
3 6 51
3 7 53
3 8 78
3 9 73
3 10 72
3 11 61
3 12 63
3 13 93
3 14 72
3 15 74
4 5 99
4 6 61
4 7 63
4 8 65
4 9 89
4 10 85
4 11 98
4 12 64
4 13 68
4 14 57
4 15 87
5 6 70
5 7 74
5 8 77
5 9 91
5 10 84
5 11 67
5 12 70
5 13 85
5 14 64
5 15 84
6 7 59
6 8 53
6 9 51
6 10 85
6 11 74
6 12 66
6 13 51
6 14 63
6 15 85
7 8 61
7 9 84
7 10 62
7 11 63
7 12 74
7 13 56
7 14 51
7 15 81
8 9 90
8 10 69
8 11 50
8 12 53
8 13 79
8 14 73
8 15 88
9 10 78
9 11 88
9 12 73
9 13 84
9 14 84
9 15 95
10 11 63
10 12 83
10 13 94
10 14 83
10 15 52
11 12 81
11 13 80
11 14 71
11 15 52
12 13 72
12 14 74
12 15 99
13 14 51
13 15 69
14 15 93
