6 10 15 14 8 1 4 3 2 9 7 11 13 5 12
9 15 5 8 10 6 1 13 11 3 7 12 2 14 4
7 6 5 4 2 3 12 13 8 9 11 15 14 10 1
12 8 3 1 15 14 7 6 11 5 4 10 2 9 13
6 9 3 12 5 4 13 2 11 14 7 15 1 8 10
6 15 10 12 13 8 3 5 9 7 14 4 11 2 1
5 13 4 8 1 15 12 3 2 14 7 11 9 10 6
13 8 10 12 15 1 14 6 9 11 4 2 7 3 5
10 13 14 2 6 8 5 1 3 7 4 15 11 9 12
9 7 10 13 2 5 12 1 11 15 4 8 14 3 6
10 3 1 13 12 2 7 5 14 11 15 4 8 6 9
3 4 12 13 1 10 11 5 15 9 14 8 6 7 2
8 13 2 5 1 9 10 4 7 14 6 11 12 3 15
7 8 15 4 5 9 3 10 14 12 11 6 13 1 2
6 1 13 2 12 9 14 10 3 4 11 7 8 15 5
3 8 11 2 1 13 6 10 5 9 14 4 7 15 12
15 2 5 12 11 1 3 6 14 7 8 9 4 10 13
3 9 7 6 12 4 5 1 2 14 11 8 15 10 13
2 14 11 5 4 13 1 7 15 12 3 10 9 8 6
10 14 3 13 6 7 4 5 11 1 12 15 2 8 9
13 6 14 2 8 1 7 15 3 9 5 10 12 11 4
8 3 12 6 13 1 14 10 2 7 11 5 9 15 4
15 9 1 14 13 3 2 10 6 8 4 5 12 11 7
9 14 1 12 7 11 2 8 3 5 4 13 15 6 10
6 11 13 14 2 5 7 12 3 10 15 8 1 9 4
6 3 12 8 10 5 1 2 4 13 15 11 14 9 7
3 2 1 6 11 9 15 10 7 14 5 4 13 12 8
8 10 13 11 1 6 5 7 2 14 15 3 4 12 9
15 12 1 3 9 10 11 4 2 13 7 5 6 8 14
15 11 1 14 7 5 2 12 8 6 10 9 3 4 13
8 4 11 2 9 6 10 3 13 7 12 15 1 14 5
9 10 7 13 3 8 1 2 4 5 6 11 14 12 15
10 11 7 3 15 8 14 13 1 6 12 5 9 4 2
4 12 11 15 1 2 9 7 14 5 6 10 3 8 13
15 1 3 8 13 7 5 9 11 12 10 2 14 4 6
6 11 15 7 9 4 8 10 1 14 3 5 2 12 13
3 1 5 11 4 8 10 15 12 6 2 9 14 7 13
8 6 7 15 13 5 4 12 9 14 10 2 11 3 1
12 15 13 4 10 11 5 3 8 6 9 1 7 2 14
15 4 12 14 9 7 8 10 5 3 2 1 11 13 6
14 2 3 10 4 15 13 8 9 1 11 6 7 12 5
12 10 15 9 3 8 7 1 2 13 14 5 6 11 4
1 9 8 7 13 11 12 6 2 15 4 10 5 3 14
6 12 2 3 8 11 13 4 14 9 10 7 15 1 5
11 2 3 5 6 12 1 10 7 8 14 15 13 9 4
8 11 5 6 4 1 10 14 13 9 3 2 12 15 7
8 5 10 14 9 2 1 15 3 12 6 7 11 4 13
14 6 7 8 3 13 9 4 15 11 1 2 10 12 5
7 4 5 14 2 6 15 1 9 3 13 11 10 8 12
9 6 3 13 5 4 15 8 14 12 10 2 7 1 11
11 2 1 6 7 9 4 5 12 10 8 13 15 14 3
15 13 11 7 8 5 1 2 12 4 6 9 14 3 10
2 14 8 7 11 4 13 3 10 1 9 12 15 6 5
9 6 7 5 8 11 1 12 3 15 4 2 13 14 10
13 2 14 15 10 4 12 11 3 7 5 9 1 8 6
5 15 11 12 13 14 1 10 9 3 8 7 4 6 2
3 13 9 1 4 5 11 10 8 15 7 14 2 12 6
2 14 11 3 7 4 13 5 15 1 10 6 8 9 12
8 4 11 12 5 15 9 10 14 13 1 3 7 2 6
1 3 6 5 9 14 4 13 10 2 15 8 11 7 12
1 10 8 2 14 4 15 7 3 6 5 9 11 12 13
6 4 13 5 8 11 3 9 14 10 15 2 1 12 7
9 6 3 11 5 12 14 8 2 15 4 1 13 7 10
14 5 8 10 15 3 9 11 6 7 12 1 2 4 13
10 12 3 2 1 6 9 15 4 7 5 13 14 11 8
9 15 5 10 2 8 14 3 4 13 1 6 7 12 11
12 8 5 11 15 6 14 1 4 3 7 10 9 2 13
6 8 3 15 14 2 10 9 7 13 11 12 5 4 1
4 7 2 13 8 10 11 1 6 12 9 3 14 15 5
7 3 9 12 4 13 14 8 2 5 15 1 10 6 11
1 9 10 4 8 6 15 2 12 7 13 5 3 14 11
11 15 5 3 10 2 12 6 9 4 13 7 14 8 1
1 7 15 12 10 2 13 6 11 9 3 5 14 4 8
2 8 7 9 10 5 11 14 3 15 12 6 4 13 1
1 14 6 12 13 3 9 10 8 7 4 15 11 2 5
14 2 10 8 12 11 7 5 13 4 1 3 6 9 15
8 12 6 5 13 15 2 14 9 7 1 10 3 4 11
1 11 15 7 8 12 2 6 3 14 13 4 9 10 5
2 6 10 8 4 14 3 5 12 7 13 15 1 9 11
8 12 7 3 1 5 6 9 15 10 2 4 11 14 13
6 10 2 14 7 9 4 1 8 15 5 12 3 13 11
6 14 5 9 4 7 2 11 12 8 10 3 15 1 13
6 13 15 8 3 1 5 2 10 12 4 7 11 14 9
6 7 4 3 5 15 2 10 11 12 1 14 8 9 13
11 3 5 10 4 6 1 12 7 14 13 2 9 8 15
6 14 5 3 15 10 7 12 2 13 11 4 9 8 1
15 5 2 11 4 9 13 6 3 1 8 10 14 12 7
2 5 13 8 6 1 14 4 15 3 9 10 12 11 7
8 10 15 5 12 11 13 7 1 4 3 2 9 6 14
1 7 13 3 5 15 11 9 8 12 2 10 6 14 4
7 9 6 2 13 15 8 14 3 1 11 4 10 12 5
8 14 6 12 3 1 4 5 11 15 9 13 10 2 7
6 12 4 2 13 11 9 10 14 3 1 15 7 8 5
15 12 11 9 1 4 10 8 7 2 3 6 14 13 5
7 2 12 1 8 14 4 15 9 10 6 5 11 3 13
3 5 9 15 4 14 13 8 1 11 10 2 7 6 12
9 10 6 3 7 13 2 11 4 15 14 12 5 8 1
4 3 15 9 1 11 13 12 5 10 7 6 8 14 2
1 12 4 5 15 14 3 10 9 7 2 13 6 11 8
1 13 6 9 2 10 7 4 14 3 8 15 12 5 11
